Energy,Ek,Ep
0.119928,0.062764,0.057164
0.385528,0.139009,0.24652
0.725345,0.194401,0.530944
1.103706,0.232985,0.870721
1.50419,0.261818,1.242372
1.919493,0.284615,1.634878
2.346814,0.303612,2.043202
2.785106,0.320133,2.464973
3.233976,0.334872,2.899104
3.692877,0.34836,3.344517
4.161088,0.360865,3.800223
4.638504,0.372529,4.265975
5.124367,0.383476,4.740891
5.618508,0.393797,5.224711
6.120686,0.403593,5.717093
6.63029,0.412923,6.217367
7.147286,0.421778,6.725509
7.671353,0.430306,7.241047
8.202272,0.438459,7.763814
8.739653,0.446352,8.293301
9.283594,0.453944,8.82965
9.834003,0.46129,9.372713
10.390461,0.468397,9.922064
10.952756,0.475301,10.477456
11.520912,0.482001,11.038911
12.094953,0.488549,11.606404
12.674635,0.494922,12.179713
13.259562,0.501136,12.758426
13.849984,0.507202,13.342781
14.446081,0.513151,13.93293
15.047043,0.518968,14.528075
15.653393,0.524651,15.128742
16.264852,0.53027,15.734582
16.881121,0.535773,16.345347
17.50261,0.541157,16.961453
18.129142,0.546462,17.582679
18.760245,0.551719,18.208526
19.395903,0.556851,18.839052
20.036478,0.561954,19.474524
20.681649,0.566992,20.114657
21.331228,0.571917,20.759311
21.985561,0.576885,21.408676
22.644189,0.581722,22.062467
23.307059,0.586525,22.720534
23.974357,0.59131,23.383047
24.645748,0.595995,24.049753
25.321675,0.6007,24.720974
26.001872,0.605335,25.396538
26.685989,0.609941,26.076048
27.37432,0.614492,26.759829
28.066635,0.619041,27.447595
28.763276,0.623554,28.139723
29.463377,0.628031,28.835346
30.16777,0.632472,29.535298
30.876017,0.636918,30.2391
31.587718,0.641336,30.946381
32.303579,0.645714,31.657865
33.022955,0.650088,32.372867
33.746313,0.654416,33.091897
34.473182,0.658779,33.814403
35.203432,0.663063,34.540368
35.937397,0.667359,35.270038
36.674843,0.671669,36.003174
37.415938,0.675928,36.740011
38.160299,0.680197,37.480102
38.908254,0.684423,38.223831
39.659298,0.688652,38.970645
40.414031,0.692908,39.721124
41.171878,0.69712,40.474758
41.932732,0.701299,41.231433
42.696901,0.705511,41.99139
43.464291,0.709698,42.754592
44.234976,0.713881,43.521095
45.008248,0.718079,44.290169
45.78495,0.722266,45.062684
46.564591,0.726406,45.838185
47.347021,0.730587,46.616434
48.132482,0.734751,47.397731
48.920797,0.738887,48.18191
49.711955,0.743022,48.968933
50.505992,0.747195,49.758796
51.302828,0.751342,50.551487
52.102336,0.755474,51.346863
52.904734,0.759648,52.145086
53.709535,0.763741,52.945793
54.516903,0.767904,53.748999
55.327134,0.772049,54.555085
56.139595,0.776199,55.363396
56.954901,0.780301,56.174601
57.772574,0.784425,56.988149
58.592624,0.788564,57.804061
59.415143,0.792709,58.622434
60.240032,0.796805,59.443226
61.067354,0.800962,60.266392
61.896774,0.805101,61.091673
62.728805,0.809237,61.919568
63.5632,0.813367,62.749833
64.399137,0.817527,63.58161
65.237697,0.821619,64.416078
66.078491,0.825775,65.252716
66.921109,0.829909,66.0912
67.766062,0.834043,66.932019
68.612849,0.838146,67.774703
69.461907,0.842331,68.619576
70.312887,0.846458,69.46643
71.165761,0.850611,70.31515
72.020565,0.854739,71.165826
72.877221,0.858851,72.018371
73.735921,0.863006,72.872916
74.596587,0.867154,73.729433
75.458783,0.871305,74.587478
76.322963,0.875411,75.447553
77.188843,0.879571,76.309273
78.056578,0.883705,77.172873
78.925816,0.887836,78.037979
79.796891,0.891989,78.904902
80.669553,0.896164,79.773389
81.543928,0.900302,80.643626
82.419711,0.904422,81.51529
83.297312,0.908589,82.388723
84.176641,0.912725,83.263916
85.057138,0.916887,84.140251
85.939272,0.921014,85.018258
86.822873,0.925185,85.897688
87.707738,0.929327,86.778411
88.594315,0.933416,87.660899
89.482289,0.937634,88.544654
90.371513,0.94177,89.429743
91.262187,0.945936,90.316252
92.154176,0.950079,91.204097
93.047363,0.95424,92.093123
93.941965,0.958362,92.983603
94.837806,0.962519,93.875287
95.734819,0.9667,94.768119
96.632958,0.97085,95.662108
97.532506,0.974994,96.557513
98.433166,0.979144,97.454022
99.334759,0.983264,98.351496
100.237739,0.987457,99.250282
101.141771,0.991633,100.150138
102.046618,0.995781,101.050837
102.952856,0.999953,101.952903
103.85982,1.00413,102.85569
104.767929,1.008265,103.759664
105.676838,1.012468,104.66437
106.58671,1.016586,105.570124
107.497604,1.020756,106.476848
108.409415,1.024942,107.384473
109.322053,1.029099,108.292954
110.235672,1.033222,109.20245
111.149971,1.037431,110.112541
112.065001,1.041568,111.023434
112.98088,1.045731,111.935149
113.897656,1.049901,112.847756
114.815156,1.054035,113.76112
115.733293,1.058206,114.675087
116.652389,1.062407,115.589982
117.571818,1.066554,116.505264
118.492024,1.070696,117.421328
119.413054,1.074924,118.338129
120.334409,1.079064,119.255345
121.256399,1.083191,120.173208
122.179038,1.087402,121.091636
123.102143,1.0916,122.010542
124.025762,1.095742,122.93002
124.949873,1.099918,123.849955
125.874451,1.104042,124.770409
126.799475,1.108208,125.691266
127.725028,1.112423,126.612605
128.650957,1.116564,127.534394
129.577373,1.120735,128.456638
130.503971,1.124931,129.37904
131.431053,1.129105,130.301948
132.358274,1.133262,131.225011
133.285836,1.137398,132.148438
134.213808,1.141581,133.072227
135.142019,1.145801,133.996218
136.070368,1.149929,134.920438
136.999067,1.154121,135.844946
137.927892,1.158312,136.769579
138.856922,1.162475,137.694447
139.785864,1.16662,138.619244
140.715211,1.170793,139.544418
141.644643,1.174955,140.469688
142.57409,1.179153,141.394938
143.50359,1.183253,142.320336
144.43329,1.187423,143.245867
145.363092,1.191621,144.171471
146.292729,1.195737,145.096992
147.222468,1.199876,146.022592
148.1524,1.204067,146.948333
149.082071,1.208253,147.873819
150.011762,1.212375,148.799386
150.941478,1.216575,149.724902
151.871052,1.220697,150.650355
152.800494,1.224913,151.575581
153.729707,1.229035,152.500672
154.658973,1.233173,153.4258
155.58797,1.237333,154.350637
156.516908,1.241476,155.275432
157.44559,1.245666,156.199924
158.374013,1.249802,157.124211
159.302222,1.253926,158.048296
160.230307,1.258095,158.972212
161.158145,1.262224,159.895921
162.085588,1.266369,160.819219
163.012824,1.270566,161.742259
163.939768,1.274671,162.665097
164.866407,1.27879,163.587617
165.792681,1.282912,164.509769
166.718669,1.287058,165.43161
167.644158,1.291178,166.35298
168.569511,1.295283,167.274228
169.494354,1.299424,168.19493
170.418951,1.303549,169.115402
171.342988,1.307678,170.03531
172.26664,1.31175,170.95489
173.190018,1.315899,171.874119
174.112702,1.320016,172.792685
175.035053,1.324109,173.710945
175.957095,1.32822,174.628875
176.878524,1.332322,175.546203
177.799437,1.33645,176.462987
178.719834,1.340543,177.379291
179.639773,1.344602,178.295171
180.559213,1.348702,179.210511
181.478171,1.35276,180.125411
182.396514,1.356873,181.039642
183.314303,1.360973,181.95333
184.231761,1.365049,182.866712
185.148356,1.369104,183.779252
186.064389,1.373209,184.69118
186.980052,1.377254,185.602797
187.894913,1.381311,186.513602
188.809347,1.385384,187.423962
189.723037,1.38942,188.333617
190.636275,1.393467,189.242809
191.548732,1.397505,190.151227
192.460733,1.40158,191.059153
193.372047,1.405609,191.966438
194.28268,1.409644,192.873037
195.192716,1.41369,193.779026
196.102011,1.417711,194.684299
197.010642,1.421722,195.58892
197.918668,1.425755,196.492913
198.826021,1.429722,197.396299
199.732636,1.433785,198.298851
200.638821,1.437846,199.200975
201.543923,1.441781,200.102142
202.448654,1.445845,201.002809
203.352403,1.449798,201.902605
204.25552,1.453843,202.801678
205.157891,1.457767,203.700123
206.059705,1.46175,204.597954
206.960732,1.465762,205.49497
207.86107,1.469737,206.391333
208.76056,1.473714,207.286846
209.659342,1.477671,208.18167
210.557431,1.481635,209.075796
211.454798,1.485598,209.969201
212.351384,1.489562,210.861822
213.247224,1.493493,211.753731
214.142413,1.497469,212.644944
215.036707,1.501354,213.535353
215.93029,1.505327,214.424963
216.823243,1.509222,215.314021
217.715289,1.513157,216.202132
218.606683,1.517077,217.089606
219.497368,1.520964,217.976404
220.387249,1.524866,218.862383
221.276391,1.528853,219.747539
222.164638,1.532643,220.631995
223.052309,1.536554,221.515756
223.939279,1.540395,222.398884
224.825,,
